index,y_true,y_pred,correct,tp,tn,fp,fn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,0,0,True,False,True,False,False,0.902703,0.170213,0.044434,0.179708,0.002896,0.314345,0.736842,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,True,True,False,False,False,0.030795,0.425532,0.098024,0.535852,0.003467,0.422915,0.414912,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1,1,True,True,False,False,False,0.009734,0.680851,0.085535,0.549688,0.003467,0.422915,0.414912,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0,0,True,False,True,False,False,0.469537,0.12766,0.027381,0.151741,0.001809,0.212584,0.649123,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1,0,False,False,False,False,True,0.456484,0.06383,0.032515,0.263463,0.002198,0.440704,0.339035,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,True,True,False,False,False,0.898854,0.510638,0.094872,0.507587,0.005922,0.369757,0.750877,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1,1,True,True,False,False,False,0.871997,0.829787,0.036688,0.508628,0.001695,0.336095,0.873246,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0,False,False,False,False,True,0.456661,0.06383,0.035697,0.46742,0.002354,0.469964,0.594737,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0,0,True,False,True,False,False,0.461086,0.12766,0.027021,0.101755,0.001822,0.183325,0.501754,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1,False,False,False,True,False,0.469891,0.297872,0.05314,0.591639,0.003677,0.569912,0.364035,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,1,True,True,False,False,False,0.434096,0.574468,0.06641,0.561291,0.003467,0.422915,0.414912,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,1,1,True,True,False,False,False,0.026857,0.93617,0.108502,0.440196,0.003467,0.422915,0.414912,0.0,0.0,0.0,1.0,0.0,0.0,0.0
