index,y_true,y_pred,correct,tp,tn,fp,fn,f0,f1,f2,f3,f4
0,0,0,True,False,True,False,False,0.320584,1.16814,-1.302758,-0.086471,1.478125
1,0,0,True,False,True,False,False,-0.198939,1.434068,0.323056,-0.899006,-0.136583
2,0,0,True,False,True,False,False,-0.577513,-0.060168,1.954318,-1.382291,-0.889087
3,1,1,True,True,False,False,False,-0.24835,1.107145,0.768092,1.09408,-0.616164
4,0,1,False,False,False,True,False,-0.796021,-0.792967,-0.025999,2.456337,-0.136583
5,1,1,True,True,False,False,False,-0.619308,-0.522952,0.307475,0.857969,-0.742733
6,0,0,True,False,True,False,False,-0.043369,0.609881,-1.291148,-0.698655,0.05135
7,0,0,True,False,True,False,False,-0.423094,1.451728,0.478573,0.549176,-0.136583
8,0,0,True,False,True,False,False,-0.026367,1.131902,-1.298042,-0.955663,2.423071
9,0,0,True,False,True,False,False,-0.658759,0.591304,0.958285,0.856563,-1.017513
10,1,1,True,True,False,False,False,-0.363758,-0.112162,0.117285,0.521542,-1.404226
11,0,0,True,False,True,False,False,-0.672966,0.683542,-1.289747,-0.024426,-0.381895
12,0,0,True,False,True,False,False,0.002619,0.851909,-1.264216,-0.685587,0.139693
13,0,0,True,False,True,False,False,0.219458,1.862652,-1.284376,0.028963,0.935081
14,1,1,True,True,False,False,False,-0.292897,-0.412897,0.756001,-1.274832,-0.990641
15,0,0,True,False,True,False,False,0.681745,0.647246,-1.196025,-0.658079,-0.284402
16,0,0,True,False,True,False,False,1.505111,-0.41988,-0.425932,-0.163755,0.758562
17,1,0,False,False,False,False,True,-0.845086,-0.967766,-0.001894,0.494091,-0.136583
18,0,0,True,False,True,False,False,1.195957,-1.165675,-0.909918,-0.388181,-0.276368
19,0,1,False,False,False,True,False,-0.795575,-0.680927,-0.329406,0.331532,1.131275
20,0,0,True,False,True,False,False,-0.825637,-1.103894,-0.271001,1.775233,-0.136583
21,0,0,True,False,True,False,False,1.51388,-0.229146,-0.984715,-0.355572,-0.244412
22,1,1,True,True,False,False,False,0.719207,0.764935,0.883822,0.205913,-0.423742
23,0,0,True,False,True,False,False,1.178268,1.753294,-1.228453,-0.713057,-0.308638
24,0,0,True,False,True,False,False,2.344687,-1.778403,-0.694429,-0.352201,-0.236846
25,0,0,True,False,True,False,False,-0.729998,0.393609,1.674092,-1.371444,-0.136583
26,0,0,True,False,True,False,False,0.178497,0.818598,-1.311036,-0.129793,0.334114
27,1,1,True,True,False,False,False,-0.41886,-0.645713,1.489951,1.641453,-1.144084
28,1,1,True,True,False,False,False,0.17248,0.428589,1.027604,0.789735,-0.841456
29,1,1,True,True,False,False,False,-0.574765,-0.475166,0.944259,1.031747,3.020826
30,0,0,True,False,True,False,False,-0.224739,1.034694,0.364702,-0.901841,-0.426657
31,1,0,False,False,False,False,True,-0.786704,-0.366917,0.015881,0.968197,-0.136583
32,1,0,False,False,False,False,True,-0.153945,0.718851,-0.13847,-0.02566,-0.634261
33,1,0,False,False,False,False,True,-0.306137,0.905842,0.08204,-0.831541,-0.582383
34,0,0,True,False,True,False,False,-0.629208,-0.431371,1.846984,-1.166508,-0.66932
35,1,1,True,True,False,False,False,-0.710478,-0.84061,-0.359553,1.93013,-1.42147
36,1,0,False,False,False,False,True,-0.82613,-0.889169,0.111554,0.58463,-0.136583
37,0,0,True,False,True,False,False,1.823546,-0.766293,-0.945185,-0.373156,-0.228956
38,0,0,True,False,True,False,False,-0.716427,0.603231,-0.099886,-0.078808,-0.136583
39,0,0,True,False,True,False,False,2.002741,-0.013485,-1.110223,-0.317651,0.330247
40,1,1,True,True,False,False,False,0.108359,-0.549878,0.138994,1.277249,0.842162
41,1,0,False,False,False,False,True,-0.366834,0.206959,0.849903,-0.975349,-0.5524
42,1,1,True,True,False,False,False,-0.693454,-0.89498,0.31304,0.879361,-0.136583
43,0,0,True,False,True,False,False,-0.03907,1.88365,0.084441,0.174493,0.888459
44,1,1,True,True,False,False,False,0.088627,-0.822622,0.601219,1.283137,2.497599
45,0,1,False,False,False,True,False,-0.74565,-0.762621,-0.053728,1.827372,-1.473612
46,0,1,False,False,False,True,False,0.188886,1.11564,-0.173353,1.382995,-0.898824
47,1,1,True,True,False,False,False,-0.528283,-0.860827,1.793452,0.651728,1.526691
48,1,0,False,False,False,False,True,-0.616473,-0.510707,1.421961,-1.256914,0.561134
49,1,1,True,True,False,False,False,0.67881,-0.430142,0.781805,1.237765,-1.268856
50,1,0,False,False,False,False,True,-0.296582,1.670479,0.19668,0.457782,1.118963
51,0,1,False,False,False,True,False,-0.666283,-0.720764,0.035078,1.657962,1.560778
52,0,0,True,False,True,False,False,3.132932,-0.829301,-0.53485,0.261428,-0.416159
53,0,0,True,False,True,False,False,-0.676269,0.41866,0.491475,-1.112137,-0.136583
54,0,0,True,False,True,False,False,0.234841,1.192697,-1.388669,-0.739041,-0.34572
55,1,1,True,True,False,False,False,-0.234472,-0.813324,1.33076,1.065079,2.019924
56,0,0,True,False,True,False,False,0.314062,0.192577,-1.244567,-0.655322,0.019301
57,0,0,True,False,True,False,False,0.325381,1.46544,-1.20162,-0.686184,0.177822
58,0,0,True,False,True,False,False,0.311431,-0.250073,-0.551902,-0.246902,-0.290533
59,1,1,True,True,False,False,False,0.667165,0.821629,0.148007,0.271098,1.721342
60,0,0,True,False,True,False,False,0.019325,0.169347,-1.107275,-0.922973,3.365271
61,0,1,False,False,False,True,False,-0.821849,-1.12297,-0.288594,2.126268,-1.733021
62,1,1,True,True,False,False,False,-0.336469,-0.396689,1.557811,-1.516964,0.882792
63,0,0,True,False,True,False,False,-0.639986,-1.053327,-0.112468,2.343623,-1.361074
64,1,0,False,False,False,False,True,-0.564398,1.670221,-1.405362,0.970507,-0.778238
